Order_ID,Customer_ID
7851,0001
9636,0001
3623,0002
11690,0003
5855,0003
9103,0003
8763,0003
12471,0004
8930,0004
11297,0004
3393,0005
7430,0006
5064,0006
2283,0006
9298,0007
7336,0007
6109,0008
7609,0008
3749,0008
186,0008
4407,0009
7476,0009
3808,0010
3670,0010
1944,0011
9857,0012
6794,0012
10748,0012
6895,0013
3182,0014
6173,0014
3178,0015
4871,0015
9914,0015
8935,0016
8535,0016
3086,0017
12817,0017
1462,0017
5252,0017
10494,0017
4370,0018
742,0018
488,0019
11821,0019
7845,0019
10848,0019
1511,0020
5451,0021
4933,0021
7470,0022
3040,0022
8406,0022
9234,0022
1153,0022
1622,0023
7063,0023
3395,0023
11560,0023
9745,0024
3221,0024
2707,0024
5454,0025
5005,0025
4682,0025
5882,0026
1428,0027
6016,0027
4572,0028
9238,0028
2212,0028
5360,0028
11345,0029
11738,0029
4896,0029
8373,0030
11814,0030
7897,0030
3,0031
8470,0031
11962,0032
11021,0032
4149,0032
2730,0033
11339,0033
2143,0034
6364,0034
12748,0034
7255,0035
10208,0036
7366,0037
6659,0037
9751,0038
11517,0039
557,0039
7682,0040
11865,0040
6485,0040
5053,0040
7328,0041
12295,0041
2985,0042
12564,0042
1319,0043
6172,0043
7474,0044
3788,0044
6129,0044
6757,0045
1316,0045
6983,0046
7816,0046
10761,0047
7989,0047
8282,0047
4142,0048
5693,0048
2898,0049
3165,0049
514,0049
9219,0050
1188,0050
6294,0051
1102,0051
3139,0052
2107,0052
12384,0052
7714,0052
9632,0053
2821,0053
12550,0053
11039,0053
6416,0054
5361,0054
923,0055
1307,0055
4837,0056
3856,0056
4769,0056
522,0057
192,0057
10715,0058
2709,0058
2853,0059
5827,0060
7125,0061
9119,0062
3577,0062
835,0063
12745,0063
3212,0063
7904,0063
4508,0064
1287,0065
5876,0065
6445,0065
8500,0066
5014,0066
12061,0066
7266,0067
2090,0067
10553,0067
3161,0067
11432,0068
10600,0069
7456,0069
5121,0070
3484,0070
3217,0070
3668,0071
7695,0071
3927,0072
3335,0072
7898,0072
7977,0073
1983,0073
10876,0074
12025,0074
1023,0074
2148,0075
4958,0075
12586,0076
5962,0076
8440,0077
1080,0077
9852,0078
7749,0078
12415,0078
3202,0079
5389,0079
10814,0079
6720,0079
11355,0079
2441,0080
2699,0080
1425,0080
4775,0081
7899,0082
42,0082
8676,0083
12160,0083
12331,0083
1745,0084
7388,0084
5781,0084
5828,0085
4106,0085
3214,0085
12574,0086
4675,0086
6926,0086
5517,0087
938,0087
3929,0087
2082,0087
4606,0087
7558,0088
10780,0088
5833,0089
2906,0089
925,0089
4627,0089
9691,0090
11389,0090
10903,0090
8098,0091
4730,0091
8582,0091
1069,0092
9135,0092
9664,0093
12649,0093
520,0093
6585,0093
7226,0094
11085,0094
143,0095
9211,0095
11370,0096
114,0096
6904,0096
4698,0096
8563,0097
2088,0098
11228,0099
7245,0099
11213,0099
4915,0100
6210,0101
3907,0101
10571,0102
436,0103
10781,0103
7100,0103
9781,0104
10517,0104
8529,0104
5999,0105
5124,0105
2136,0105
3961,0106
9723,0107
7521,0107
11243,0107
2548,0108
9878,0109
4336,0109
5721,0110
4411,0110
6793,0110
12615,0110
11880,0110
11305,0110
5519,0111
2835,0111
241,0111
2600,0112
5669,0112
8708,0113
8274,0114
10530,0114
284,0115
3621,0115
8511,0116
7822,0117
3125,0117
9762,0117
12578,0117
4787,0117
8139,0118
3264,0118
5676,0118
9761,0119
6868,0119
10358,0119
9786,0119
2976,0119
8967,0120
4155,0120
6624,0120
12475,0120
2641,0121
5761,0122
6968,0122
4624,0122
7873,0122
8079,0122
9800,0123
4120,0124
1222,0125
12309,0125
8490,0125
4623,0126
519,0126
5521,0126
1065,0126
4729,0127
1125,0127
11661,0127
4146,0128
1250,0128
2838,0129
7200,0129
12399,0129
1873,0130
5207,0131
2036,0131
8630,0131
5989,0131
3250,0131
2701,0131
7995,0132
12772,0133
11988,0133
2849,0133
2484,0134
10293,0135
2854,0135
9620,0135
2274,0136
898,0136
10486,0136
596,0137
4443,0137
10734,0137
2575,0138
4481,0138
9107,0139
5301,0140
12152,0140
2501,0141
3156,0141
4797,0141
10177,0142
11773,0142
1556,0143
12480,0143
9830,0143
1547,0143
4553,0143
7026,0143
2746,0144
6826,0144
2434,0144
12755,0144
53,0145
5569,0145
5835,0145
679,0146
540,0146
6695,0147
5967,0147
7589,0148
1210,0149
2460,0149
10511,0149
1355,0150
4274,0150
3860,0150
2043,0151
6953,0151
7616,0152
11385,0153
1207,0154
6817,0154
5929,0155
931,0155
10336,0155
12781,0155
9427,0156
3513,0157
2752,0158
4989,0158
1677,0158
3032,0158
9601,0159
7282,0159
11415,0160
12054,0161
9256,0162
9695,0162
